Sample_ID,Line,Age,Date.of.differentiation,Region,Version,Condition,Glutamatergic_ODS,GABAergic_ODS,Non_neuronal_ODS,Dividing_Progenitor_ODS,Neural_Progenitor_ODS,Intermediate_Progenitor_ODS,Microglia_ODS,Glutamatergic_mean_RPKM,GABAergic_mean_RPKM,Non_neuronal_mean_RPKM,Dividing_Progenitor_mean_RPKM,Neural_Progenitor_mean_RPKM,Intermediate_Progenitor_mean_RPKM,Microglia_mean_RPKM,ER_stress_mean_RPKM,oxidative_stress_mean_RPKM,glycolytic_stress_mean_RPKM
21047R-94-33,8858.3,30,April_2023,subpallial,v5,baseline_feeding_schedule,0.8839509136323866,0.3550329879547577,-0.12557931175326975,0.8299069570616177,0.830684431735931,-0.19572761196124766,0.8204262272230594,3.372251264509866,3.088537254307364,1.9787153584233523,7.0499139379704125,10.262467884651032,2.813686216927469,4.94468095404691,8.378992622595048,29.572814137998126,30.78403357949186
21047R-94-34,C4.1,30,April_2023,subpallial,v5,baseline_feeding_schedule,0.6831895220604897,0.6272316069618805,-3.766239986209529,0.8491759974162049,0.6702666801742422,-2.2543760829453876,0.8657028770653876,2.8477101990951326,3.4026784585574736,1.951513963667047,4.909194794661136,8.781725945378108,2.209676498437297,5.018805080262951,7.918279766695502,27.929960789519107,40.62272410080711
21047R-94-35,C4.1,30,April_2023,subpallial,v5,baseline_feeding_schedule,0.6824835039208341,0.6294048863761894,-3.780921063639764,0.8947422622592037,0.7117563166109111,-2.7756547121157364,0.8544662569889026,2.630096949114216,3.338648777524788,1.9944584936933498,4.923883714055098,9.20984481409598,2.4217486925225122,5.655380328738494,8.409126855632215,27.33287115680633,42.21959523872265
21047R-94-36,C4.1,30,April_2023,subpallial,v5,baseline_feeding_schedule,0.6664386141897609,0.626597317500537,-2.880426059555859,0.8381032643861412,0.6634633649696808,-0.6705123319778739,0.8914836255310167,3.561355570933142,3.3363371348885997,1.784905582265386,5.016288433558256,9.102729488187174,2.539298628682791,5.496388144159635,8.191283721695333,29.383694318791612,41.477300050655316
21047R-94-40,C4.1,30,April_2023,cortical,v5,baseline_feeding_schedule,0.6869758283936247,0.6404601138252811,-6.749572574779376,0.7248535021256151,0.7239979671207313,-3.8701814281605547,0.9026981916919683,3.889245394462503,2.1042457903927674,1.939337447474818,6.705448051165619,8.639003505156392,5.649417160190453,7.855752018369228,9.348892713689656,27.680176720367463,37.48963526469915
21047R-94-41,C4.1,30,April_2023,cortical,v5,baseline_feeding_schedule,0.6978520803956079,0.6793024780546846,-4.53049607606756,0.9985066445546591,0.8348770020335047,-3.433679243248303,0.86006345540605,3.557190183011667,1.9841439622013772,1.874798413659836,6.301150757633987,8.490365796560663,5.04314181765915,8.60410475893695,10.638550665646322,27.244301370684006,40.331957898438304
21047R-94-42,C4.1,30,April_2023,cortical,v5,baseline_feeding_schedule,0.705319866136883,0.6560659587140599,-6.8396925310565235,0.9373541820374884,0.7398866415510656,-5.684527881581341,0.8504403076062815,4.0419653788489605,2.012714769664986,1.9745146683141215,5.220334959004681,8.349851833182138,5.214722432870754,8.600577892638977,10.215600795119597,27.16925908142688,37.37140791970893
21047R-94-49,8858.3,30,April_2023,spinal,v5,baseline_feeding_schedule,0.6815532566738958,0.6566204673713347,-0.9498127569590802,0.8062787393223582,0.7897045909459964,-1.805391356000833,0.8287826649844198,41.87853143851054,12.243556382003435,1.8052969813994895,1.4502650023565835,7.494992624586562,1.305940310595599,6.084622879793556,6.490687247100654,27.380868567302937,36.44427534644206
21047R-94-50,8858.3,30,April_2023,spinal,v5,baseline_feeding_schedule,0.6839452996508397,0.6742164200797103,-1.2360365235753807,0.8635422847017376,0.7685767999803261,-1.6302121430954086,0.8479405262599083,40.15467211739252,13.449065847007642,1.9273120206944252,1.4869459085948957,7.39347335146178,1.2769698450800226,6.118202468948066,6.5738998176602355,28.269847408567195,37.67711558780117
21047R-94-51,8858.3,30,April_2023,spinal,v5,baseline_feeding_schedule,0.6820395755642199,0.6796359216695262,-1.3819376284484943,0.8756426139532938,0.7206142229554591,-1.7861480402363803,0.8615334865523459,44.30372579514173,14.965659453242544,1.2291031642999082,1.2201412840093786,5.943265714651285,1.0910350137007714,5.704850155512465,6.777603990141486,27.654763706737796,43.90922521565807
21047R-94-01,8858.3,30,April_2023,cortical,v5,weekend_skipping,0.7368618323975296,0.9915116492604906,-0.8659082715322697,0.7942028444346245,0.7310272137442029,0.6053944654226208,0.8286396304293202,4.853082060344689,2.4127411234622365,1.7173404479691845,4.8085381468142385,8.113134069672066,4.816336186458605,4.072979758348962,8.178138792787411,27.2061466701604,27.356650187248885
21047R-94-02,8858.3,30,April_2023,cortical,v5,weekend_skipping,0.7573354844417384,0.721457361703004,-1.4787144949114173,0.8023191362751572,0.7274711180647625,0.46794260545569843,0.8468744518067077,4.244564176827305,2.520721698689913,1.900928798976702,5.419710127178414,8.930930025456385,5.931021185499853,4.322675216947395,8.438152574731555,26.389337919753686,35.49404028029598
21047R-94-03,8858.3,30,April_2023,cortical,v5,weekend_skipping,0.7135272203173022,0.6315957696333498,-7.697891542259553,0.8013070483861533,0.2775475874327963,-2.689008506436746,0.845929780042599,4.199609207970997,2.316361411870642,1.7464155442115883,5.538061621467056,8.795193112643307,4.6546170709015815,4.805926868993644,8.612183760557015,27.161879919527863,33.47881554207836
21047R-94-04,C4.1,30,April_2023,subpallial,v5,weekend_skipping,0.7169363833505344,0.6159927958780849,-8.213527995752479,0.7673664767488562,0.2729225026807579,-3.429688902583808,0.8257181905389981,2.728865282669488,3.1378149193971874,1.888219978293656,5.441899995730071,8.517508243364313,1.7599513917784284,4.537595398759561,7.886450867250675,25.23002372089965,38.48588909161822
21047R-94-05,C4.1,30,April_2023,subpallial,v5,weekend_skipping,0.7227011084373836,0.6373469280449731,-8.872354455286505,0.6675536487028215,0.3526492305604151,-2.6634103470023223,0.7998322429964404,2.746697432721921,2.916896821514877,1.8199838144872476,5.525230395665188,8.603279752866104,1.7564278904272383,4.516207633997241,8.091966705398727,25.19328513133894,37.743347044197286
21047R-94-06,C4.1,30,April_2023,subpallial,v5,weekend_skipping,0.659369624202939,0.6002263293506327,-0.4549634103375826,0.7869027407594661,0.8058341605456634,-0.6616141406319298,0.8849946227269386,2.586952148602901,2.7791524946272905,1.7810412766243047,5.4113747916386385,8.429735796281653,1.7947063520254067,4.605759814616616,8.174577530500395,24.54814234820662,38.5872555660994
21047R-94-07,C4.1,30,April_2023,cortical,v5,weekend_skipping,0.6604484891898929,0.6228812674755406,-0.2997005921864069,0.823912240238638,0.8048649336620362,-0.673626885971238,0.9156452676773028,2.5976936328474953,2.275479164741538,2.053850813782771,5.110007177268454,9.101331754805825,2.9599677521847054,9.752534754055906,11.35180356981095,24.715882073665846,42.88564954659255
21047R-94-08,C4.1,30,April_2023,cortical,v5,weekend_skipping,0.6663902523440306,0.6161796275668572,-0.4160670516959384,0.884629317669936,0.7989990449001765,-0.6005181787655751,0.9074894845010739,3.4067367626511524,2.13077443504472,1.8395810048255454,5.703431235845804,8.18216882439384,5.9424394434283,9.052340912600588,9.384891822000633,26.574847491512557,35.57760735180316
21047R-94-09,C4.1,30,April_2023,cortical,v5,weekend_skipping,0.6080190580147034,0.8905361702179144,-0.39458324284253643,0.8508621845235499,0.7828980882779082,0.23385171928920512,0.8809576813793996,2.754212113969282,2.1657270260740233,2.0607907318175953,4.6437057377913815,8.266278965216486,4.3363548154554055,10.932923591868821,10.931644120112109,25.0634550667761,37.69667005445598
21047R-94-10,C4.1,30,April_2023,subpallial,v5,once_a_week,0.5825473226642224,0.8951556474809186,-0.4008606063000226,0.8443738521369013,0.7676729122358785,0.4246781794933979,0.8951339572695458,2.1761674028651967,2.35976038821008,2.1737017309976863,6.183666429430304,11.453630793696055,2.02068698110973,5.563214050549421,9.58055562170827,23.013672318736454,35.26013219029965
21047R-94-11,C4.1,30,April_2023,subpallial,v5,once_a_week,0.5998534341065689,0.9132642170782804,-0.3267361161130262,0.861754228791237,0.7689388819687484,0.08696017113148657,0.8638548384342821,2.329313595660516,2.192551353340149,2.12394947325103,6.300601797622549,11.530776887867516,2.0674515626223453,5.49753385602629,9.491269814701694,23.84130605598896,33.30499539969478
21047R-94-12,C4.1,30,April_2023,subpallial,v5,once_a_week,0.9786666633976255,0.9734830367796079,-0.378215800231114,0.8007322110881776,0.7682515994153734,-0.17365071480187044,0.8568905149862902,2.2470449256198846,2.2501665117675778,2.133071799262466,6.044601812581709,11.243661341267583,2.1982254182539567,5.548608575585013,9.887419890152538,22.898341262046802,34.814825535818315
21047R-94-13,C4.1,30,April_2023,spinal,v5,weekend_skipping,0.9397290284447564,0.9817184207415859,-0.356588511957749,0.8072160123164664,0.7959005797125861,0.016926267276246687,0.8133100609455538,26.97815231128564,9.153169986146326,1.042077300069003,2.119427369844233,5.589441829623096,1.4255169629870907,4.979693579079986,6.549735737676968,25.986097523148246,39.51475326420481
21047R-94-14,C4.1,30,April_2023,spinal,v5,weekend_skipping,0.8951380863596526,0.9636726474685627,-0.6908151187888238,0.7893546921685444,0.8008978888102187,0.08538494652481743,0.8209114966671999,25.246610626227373,9.26896424098068,1.0587684198199299,2.213061526948275,5.912660579566629,1.2724212870660818,5.125403350773582,6.6610097757137625,25.835066283366707,39.98474771184184
21047R-94-15,C4.1,30,April_2023,spinal,v5,weekend_skipping,0.5316660901171549,0.9247613263620348,-1.0513394066124415,0.8181055273321989,0.6762166844497008,0.5583562823806734,0.7419928776151516,22.52679666755946,7.933991222930258,1.1510200535383008,3.102799756894969,6.1682496828231335,2.253362474744963,4.701012151863091,6.626434208612411,25.709193656751467,40.58029196933332
21047R-94-19,8858.3,30,April_2023,spinal,v5,once_a_week,0.5185911472299585,0.8862904827159225,-1.1282836340003182,0.8073892694129524,0.6285401213645243,0.5066473440529552,0.7293278412636226,28.34903555752019,8.08033488663344,1.5738738895883586,2.018053186122188,6.6531427279018125,1.4658796981319016,7.11998863032165,8.407113670238383,25.656040995613093,50.949264936601956
